item_id,category,destination,price,duration,description
529,Family & Kids,Ho Chi Minh City,300.28,480,Family-friendly activity in Ho Chi Minh City. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
530,Educational,Da Nang,32.76,240,"Educational tour in Da Nang. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
531,Art & Craft,Mui Ne,307.7,120,"Creative art and craft workshop in Mui Ne. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
532,Family & Kids,Can Tho,93.56,60,Family-friendly activity in Can Tho. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
533,Art & Craft,Ha Long Bay,41.88,120,"Creative art and craft workshop in Ha Long Bay. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
534,Adventure,Phong Nha,474.95,180,"Exciting adventure activity in Phong Nha. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
535,Art & Craft,Ho Chi Minh City,483.16,120,"Creative art and craft workshop in Ho Chi Minh City. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
536,Educational,Mai Chau,406.11,60,"Educational tour in Mai Chau. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
537,Educational,Phu Quoc,159.26,180,"Educational tour in Phu Quoc. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
538,Sports & Fitness,Sapa,57.86,240,"Active sports and fitness experience in Sapa. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
539,Educational,Hanoi,345.27,240,"Educational tour in Hanoi. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
540,Family & Kids,Nha Trang,225.67,120,Family-friendly activity in Nha Trang. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
541,Romantic,Da Lat,69.8,180,"Romantic experience in Da Lat. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
542,Art & Craft,Can Tho,252.64,60,"Creative art and craft workshop in Can Tho. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
543,Educational,Mui Ne,26.85,90,"Educational tour in Mui Ne. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
544,Sports & Fitness,Hue,455.57,120,"Active sports and fitness experience in Hue. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
545,Romantic,Hanoi,136.8,360,"Romantic experience in Hanoi. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
546,Art & Craft,Phu Quoc,334.64,180,"Creative art and craft workshop in Phu Quoc. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
547,Art & Craft,Cat Ba Island,162.74,480,"Creative art and craft workshop in Cat Ba Island. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
548,Educational,Hoi An,264.83,240,"Educational tour in Hoi An. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
549,Art & Craft,Mai Chau,277.89,30,"Creative art and craft workshop in Mai Chau. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
550,Sports & Fitness,Hoi An,100.58,30,"Active sports and fitness experience in Hoi An. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
551,Nightlife & Entertainment,Phong Nha,485.1,240,"Enjoy vibrant nightlife and entertainment in Phong Nha. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
552,Educational,Phu Quoc,389.82,180,"Educational tour in Phu Quoc. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
553,Adventure,Ho Chi Minh City,470.35,120,"Exciting adventure activity in Ho Chi Minh City. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
554,Sports & Fitness,Cat Ba Island,448.47,240,"Active sports and fitness experience in Cat Ba Island. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
555,Sports & Fitness,Hoi An,302.97,360,"Active sports and fitness experience in Hoi An. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
556,Educational,Phu Quoc,461.72,360,"Educational tour in Phu Quoc. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
557,Nightlife & Entertainment,Hanoi,53.36,180,"Enjoy vibrant nightlife and entertainment in Hanoi. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
558,Sports & Fitness,Hanoi,106.03,120,"Active sports and fitness experience in Hanoi. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
559,Family & Kids,Can Tho,32.16,480,Family-friendly activity in Can Tho. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
560,Sports & Fitness,Hue,169.41,180,"Active sports and fitness experience in Hue. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
561,Romantic,Can Tho,200.45,300,"Romantic experience in Can Tho. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
562,Nightlife & Entertainment,Cat Ba Island,142.96,300,"Enjoy vibrant nightlife and entertainment in Cat Ba Island. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
563,Romantic,Nha Trang,416.08,120,"Romantic experience in Nha Trang. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
564,Family & Kids,Hanoi,184.81,480,Family-friendly activity in Hanoi. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
565,Nightlife & Entertainment,Sapa,147.66,60,"Enjoy vibrant nightlife and entertainment in Sapa. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
566,Art & Craft,Phong Nha,275.92,30,"Creative art and craft workshop in Phong Nha. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
567,Romantic,Mai Chau,79.05,60,"Romantic experience in Mai Chau. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
568,Sports & Fitness,Hanoi,403.08,90,"Active sports and fitness experience in Hanoi. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
569,Art & Craft,Phong Nha,46.53,300,"Creative art and craft workshop in Phong Nha. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
570,Nightlife & Entertainment,Mui Ne,493.57,60,"Enjoy vibrant nightlife and entertainment in Mui Ne. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
571,Educational,Phu Quoc,388.4,300,"Educational tour in Phu Quoc. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
572,Adventure,Mui Ne,107.37,360,"Exciting adventure activity in Mui Ne. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
573,Adventure,Hue,12.71,180,"Exciting adventure activity in Hue. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
574,Romantic,Hue,409.58,30,"Romantic experience in Hue. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
575,Family & Kids,Da Lat,356.36,60,Family-friendly activity in Da Lat. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
576,Art & Craft,Da Lat,367.21,480,"Creative art and craft workshop in Da Lat. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
577,Nightlife & Entertainment,Phong Nha,387.92,180,"Enjoy vibrant nightlife and entertainment in Phong Nha. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
578,Art & Craft,Phong Nha,46.28,240,"Creative art and craft workshop in Phong Nha. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
579,Art & Craft,Ho Chi Minh City,185.65,180,"Creative art and craft workshop in Ho Chi Minh City. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
580,Nightlife & Entertainment,Phu Quoc,66.78,90,"Enjoy vibrant nightlife and entertainment in Phu Quoc. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
581,Art & Craft,Sapa,432.92,30,"Creative art and craft workshop in Sapa. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
582,Art & Craft,Can Tho,315.42,180,"Creative art and craft workshop in Can Tho. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
583,Sports & Fitness,Hue,172.14,90,"Active sports and fitness experience in Hue. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
584,Art & Craft,Hue,41.14,60,"Creative art and craft workshop in Hue. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
585,Sports & Fitness,Mai Chau,162.38,180,"Active sports and fitness experience in Mai Chau. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
586,Nightlife & Entertainment,Mai Chau,169.34,480,"Enjoy vibrant nightlife and entertainment in Mai Chau. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
587,Educational,Mui Ne,367.51,120,"Educational tour in Mui Ne. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
588,Adventure,Hanoi,322.4,240,"Exciting adventure activity in Hanoi. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
589,Sports & Fitness,Phong Nha,444.73,90,"Active sports and fitness experience in Phong Nha. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
590,Sports & Fitness,Hue,241.39,480,"Active sports and fitness experience in Hue. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
591,Romantic,Cat Ba Island,68.6,30,"Romantic experience in Cat Ba Island. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
592,Sports & Fitness,Mui Ne,359.49,240,"Active sports and fitness experience in Mui Ne. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
593,Sports & Fitness,Sapa,382.78,30,"Active sports and fitness experience in Sapa. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
594,Adventure,Ho Chi Minh City,285.03,240,"Exciting adventure activity in Ho Chi Minh City. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
595,Family & Kids,Cat Ba Island,387.77,180,Family-friendly activity in Cat Ba Island. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
596,Nightlife & Entertainment,Hoi An,251.96,30,"Enjoy vibrant nightlife and entertainment in Hoi An. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
597,Sports & Fitness,Hoi An,266.14,60,"Active sports and fitness experience in Hoi An. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
598,Art & Craft,Ho Chi Minh City,219.5,360,"Creative art and craft workshop in Ho Chi Minh City. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
599,Art & Craft,Mai Chau,22.46,60,"Creative art and craft workshop in Mai Chau. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
600,Educational,Phong Nha,62.87,480,"Educational tour in Phong Nha. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
601,Romantic,Phong Nha,25.4,90,"Romantic experience in Phong Nha. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
602,Adventure,Hanoi,321.84,360,"Exciting adventure activity in Hanoi. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
603,Nightlife & Entertainment,Hue,164.03,90,"Enjoy vibrant nightlife and entertainment in Hue. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
604,Romantic,Da Nang,259.2,480,"Romantic experience in Da Nang. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
605,Educational,Mai Chau,454.71,300,"Educational tour in Mai Chau. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
606,Sports & Fitness,Hoi An,132.15,480,"Active sports and fitness experience in Hoi An. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
607,Nightlife & Entertainment,Phong Nha,211.09,120,"Enjoy vibrant nightlife and entertainment in Phong Nha. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
608,Adventure,Can Tho,380.22,180,"Exciting adventure activity in Can Tho. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
609,Educational,Phu Quoc,122.11,240,"Educational tour in Phu Quoc. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
610,Nightlife & Entertainment,Sapa,47.72,480,"Enjoy vibrant nightlife and entertainment in Sapa. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
611,Adventure,Sapa,151.98,60,"Exciting adventure activity in Sapa. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
612,Art & Craft,Hoi An,89.0,120,"Creative art and craft workshop in Hoi An. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
613,Art & Craft,Ho Chi Minh City,465.55,240,"Creative art and craft workshop in Ho Chi Minh City. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
614,Romantic,Ha Long Bay,405.98,480,"Romantic experience in Ha Long Bay. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
615,Romantic,Hoi An,320.37,120,"Romantic experience in Hoi An. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
616,Educational,Ha Long Bay,437.02,60,"Educational tour in Ha Long Bay. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
617,Nightlife & Entertainment,Can Tho,403.8,30,"Enjoy vibrant nightlife and entertainment in Can Tho. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
618,Educational,Hoi An,101.42,60,"Educational tour in Hoi An. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
619,Educational,Cat Ba Island,447.35,30,"Educational tour in Cat Ba Island. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
620,Art & Craft,Mai Chau,274.28,240,"Creative art and craft workshop in Mai Chau. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
621,Romantic,Ho Chi Minh City,405.65,480,"Romantic experience in Ho Chi Minh City. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
622,Family & Kids,Hoi An,449.08,180,Family-friendly activity in Hoi An. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
623,Sports & Fitness,Da Lat,165.82,360,"Active sports and fitness experience in Da Lat. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
624,Family & Kids,Hoi An,63.93,480,Family-friendly activity in Hoi An. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
625,Romantic,Hanoi,121.69,360,"Romantic experience in Hanoi. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
626,Educational,Hoi An,219.28,360,"Educational tour in Hoi An. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
627,Adventure,Phong Nha,410.83,300,"Exciting adventure activity in Phong Nha. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
628,Sports & Fitness,Hoi An,431.76,60,"Active sports and fitness experience in Hoi An. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
629,Family & Kids,Ho Chi Minh City,13.41,300,Family-friendly activity in Ho Chi Minh City. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
630,Art & Craft,Nha Trang,260.27,300,"Creative art and craft workshop in Nha Trang. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
631,Art & Craft,Phu Quoc,214.53,360,"Creative art and craft workshop in Phu Quoc. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
632,Nightlife & Entertainment,Mai Chau,118.83,30,"Enjoy vibrant nightlife and entertainment in Mai Chau. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
633,Adventure,Da Lat,68.73,60,"Exciting adventure activity in Da Lat. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
634,Nightlife & Entertainment,Ha Long Bay,175.43,300,"Enjoy vibrant nightlife and entertainment in Ha Long Bay. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
635,Family & Kids,Can Tho,472.03,240,Family-friendly activity in Can Tho. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
636,Art & Craft,Phong Nha,168.37,60,"Creative art and craft workshop in Phong Nha. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
637,Educational,Hoi An,264.21,120,"Educational tour in Hoi An. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
638,Family & Kids,Hoi An,354.48,480,Family-friendly activity in Hoi An. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
639,Sports & Fitness,Sapa,188.18,90,"Active sports and fitness experience in Sapa. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
640,Sports & Fitness,Phu Quoc,486.17,90,"Active sports and fitness experience in Phu Quoc. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
641,Art & Craft,Da Nang,481.6,360,"Creative art and craft workshop in Da Nang. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
642,Romantic,Hoi An,133.37,60,"Romantic experience in Hoi An. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
643,Art & Craft,Sapa,253.65,480,"Creative art and craft workshop in Sapa. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
644,Educational,Ho Chi Minh City,157.43,30,"Educational tour in Ho Chi Minh City. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
645,Educational,Da Lat,149.57,480,"Educational tour in Da Lat. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
646,Educational,Mai Chau,28.07,30,"Educational tour in Mai Chau. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
647,Sports & Fitness,Ho Chi Minh City,308.69,120,"Active sports and fitness experience in Ho Chi Minh City. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
648,Educational,Hanoi,256.31,300,"Educational tour in Hanoi. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
649,Educational,Sapa,35.22,360,"Educational tour in Sapa. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
650,Romantic,Hoi An,146.54,300,"Romantic experience in Hoi An. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
651,Nightlife & Entertainment,Cat Ba Island,455.05,30,"Enjoy vibrant nightlife and entertainment in Cat Ba Island. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
652,Art & Craft,Hanoi,127.39,300,"Creative art and craft workshop in Hanoi. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
653,Art & Craft,Ha Long Bay,81.0,300,"Creative art and craft workshop in Ha Long Bay. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
654,Romantic,Da Nang,249.83,360,"Romantic experience in Da Nang. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
655,Nightlife & Entertainment,Da Nang,492.97,300,"Enjoy vibrant nightlife and entertainment in Da Nang. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
656,Sports & Fitness,Can Tho,128.61,480,"Active sports and fitness experience in Can Tho. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
657,Art & Craft,Da Lat,339.35,360,"Creative art and craft workshop in Da Lat. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
658,Nightlife & Entertainment,Hanoi,383.19,120,"Enjoy vibrant nightlife and entertainment in Hanoi. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
659,Adventure,Da Nang,126.44,120,"Exciting adventure activity in Da Nang. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
660,Sports & Fitness,Ha Long Bay,366.83,480,"Active sports and fitness experience in Ha Long Bay. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
661,Nightlife & Entertainment,Ha Long Bay,190.21,240,"Enjoy vibrant nightlife and entertainment in Ha Long Bay. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
662,Family & Kids,Ha Long Bay,319.83,30,Family-friendly activity in Ha Long Bay. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
663,Family & Kids,Mui Ne,320.43,360,Family-friendly activity in Mui Ne. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
664,Family & Kids,Hue,272.53,480,Family-friendly activity in Hue. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
665,Family & Kids,Hanoi,54.24,30,Family-friendly activity in Hanoi. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
666,Romantic,Hue,419.3,60,"Romantic experience in Hue. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
667,Sports & Fitness,Mai Chau,167.18,90,"Active sports and fitness experience in Mai Chau. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
668,Educational,Ho Chi Minh City,101.39,60,"Educational tour in Ho Chi Minh City. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
669,Romantic,Da Lat,29.98,120,"Romantic experience in Da Lat. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
670,Educational,Phu Quoc,299.54,60,"Educational tour in Phu Quoc. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
671,Family & Kids,Cat Ba Island,342.01,120,Family-friendly activity in Cat Ba Island. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
672,Educational,Mui Ne,18.13,30,"Educational tour in Mui Ne. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
673,Adventure,Mui Ne,260.93,60,"Exciting adventure activity in Mui Ne. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
674,Romantic,Phu Quoc,120.98,480,"Romantic experience in Phu Quoc. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
